"jersey_no","name","tm_id","tm_position","date_of_birth","age","tm_team_id","tm_team","foot","tm_value","tm_currency","height","debut","country"
"12","Artur Boruc","15220","Keeper",1980-02-20,36,"989","AFC Bournemouth","right",1000000,"€  ",193,2004-04-28,"Poland"
"15","Kamil Glik","46552","Centre Back",1988-02-03,28,"416","Torino FC","right",10000000,"€  ",190,2010-01-20,"Poland"
"18","Bartosz Salamon","71019","Centre Back",1991-05-01,25,"1390","Cagliari Calcio","right",2200000,"€  ",194,2013-03-26,"Poland"
"2","Michal Pazdan","54512","Centre Back",1987-09-21,28,"255","Legia Warszawa","both",1700000,"€  ",181,2007-12-15,"Poland"
"4","Thiago Cionek","79510","Centre Back",1986-04-21,30,"458","US Palermo","right",900000,"€  ",184,2014-05-13,"Poland"
"14","Jakub Wawrzyniak","35075","Left-Back",1983-07-07,32,"4000","Lechia Gdansk","left",350000,"€  ",188,2006-12-06,"Poland"
"20","Lukasz Piszczek","25727","Right-Back",1985-06-03,31,"16","Borussia Dortmund","right",6000000,"€  ",184,2007-02-03,"Poland"
"3","Artur Jedrzejczyk","42401","Right-Back",1987-11-04,28,"255","Legia Warszawa","right",2700000,"€  ",189,2010-07-26,"Poland"
"10","Grzegorz Krychowiak","45184","Defensive Midfield",1990-01-29,26,"368","Sevilla FC","right",30000000,"€  ",186,2008-12-14,"Poland"
"6","Tomasz Jodlowiec","27261","Defensive Midfield",1985-09-08,30,"255","Legia Warszawa","right",1500000,"€  ",189,2008-10-11,"Poland"
"19","Piotr Zielinski","181136","Central Midfield",1994-05-20,22,"749","FC Empoli","right",12000000,"€  ",180,2013-06-04,"Poland"
"8","Karol Linetty","225873","Central Midfield",1995-02-02,21,"238","Lech Poznan","right",3200000,"€  ",176,2014-01-18,"Poland"
"5","Krzysztof Maczynski","51337","Central Midfield",1987-05-23,29,"422","Wisla Kraków","right",1000000,"€  ",175,2013-11-15,"Poland"
"23","Filip Starzynski","199301","Attacking Midfield",1991-05-27,25,"168","Zaglebie Lubin","right",1000000,"€  ",184,2014-09-07,"Poland"
"21","Bartosz Kapustka","246579","Left Wing",1996-12-23,19,"5689","Cracovia Kraków","right",2500000,"€  ",179,2015-09-07,"Poland"
"17","Slawomir Peszko","16956","Left Wing",1985-02-19,31,"4000","Lechia Gdansk","right",400000,"€  ",173,2008-11-19,"Poland"
"16","Jakub Blaszczykowski","29835","Right Wing",1985-12-14,30,"430","ACF Fiorentina","right",7000000,"€  ",176,2006-03-28,"Poland"
"11","Kamil Grosicki","37920","Right Wing",1988-06-08,28,"273","Stade Rennais FC","right",4500000,"€  ",180,2008-02-02,"Poland"
"9","Robert Lewandowski","38253","Centre Forward",1988-08-21,27,"27","Bayern Munich","right",75000000,"€  ",184,2008-09-10,"Poland"
"7","Arkadiusz Milik","191891","Centre Forward",1994-02-28,22,"610","Ajax Amsterdam","left",10000000,"€  ",186,2012-10-12,"Poland"
"13","Mariusz Stepinski","210363","Centre Forward",1995-05-12,21,"318","Ruch Chorzow","right",1500000,"€  ",183,2013-02-02,"Poland"
"1","Volkan Babacan","52261","Keeper",1988-08-11,27,"6890","Medipol Basaksehir","right",8000000,"€  ",192,2014-10-13,"Turkey"
"12","Onur Kivrak","56747","Keeper",1988-01-01,28,"449","Trabzonspor","right",6750000,"€  ",187,2010-05-26,"Turkey"
"23","Harun Tekin","85213","Keeper",1989-06-17,27,"20","Bursaspor","right",2500000,"€  ",187,NA,"Turkey"
"15","Mehmet Topal","44402","Centre Back",1986-03-03,30,"36","Fenerbahce SK","right",10000000,"€  ",187,2008-02-06,"Turkey"
"2","Semih Kaya","60709","Centre Back",1991-02-24,25,"141","Galatasaray SK","right",5750000,"€  ",182,2012-02-29,"Turkey"
"4","Ahmet Calik","182395","Centre Back",1994-02-26,22,"820","Genclerbirligi Ankara","right",5000000,"€  ",184,2015-11-17,"Turkey"
"3","Hakan Balta","29494","Centre Back",1983-03-23,33,"141","Galatasaray SK","left",1000000,"€  ",184,2006-04-12,"Turkey"
"18","Caner Erkin","39333","Left-Back",1988-10-04,27,"36","Fenerbahce SK","left",9000000,"€  ",179,2006-05-26,"Turkey"
"13","Ismail Köybasi","74641","Left-Back",1989-07-10,26,"114","Besiktas JK","left",5000000,"€  ",177,2009-08-12,"Turkey"
"7","Gökhan Gönül","33793","Right-Back",1985-01-04,31,"36","Fenerbahce SK","right",6000000,"€  ",175,2007-11-17,"Turkey"
"22","Sener Özbayrakli","169873","Right-Back",1990-01-23,26,"36","Fenerbahce SK","right",5000000,"€  ",181,2015-03-31,"Turkey"
"16","Ozan Tufan","236471","Defensive Midfield",1995-03-23,21,"36","Fenerbahce SK","right",7000000,"€  ",182,2014-05-25,"Turkey"
"14","Oguzhan Özyakup","77966","Central Midfield",1992-09-23,23,"114","Besiktas JK","both",14000000,"€  ",180,2013-05-28,"Turkey"
"5","Nuri Sahin","31095","Central Midfield",1988-09-05,27,"16","Borussia Dortmund","left",6500000,"€  ",180,2005-10-08,"Turkey"
"8","Selcuk Inan","35026","Central Midfield",1985-02-10,31,"141","Galatasaray SK","right",6000000,"€  ",185,2007-10-13,"Turkey"
"10","Arda Turan","21369","Attacking Midfield",1987-01-30,29,"131","FC Barcelona","both",30000000,"€  ",177,2006-08-16,"Turkey"
"6","Hakan Calhanoglu","126414","Attacking Midfield",1994-02-08,22,"15","Bayer 04 Leverkusen","right",18000000,"€  ",178,2013-09-06,"Turkey"
"19","Yunus Malli","85352","Attacking Midfield",1992-02-24,24,"39","1.FSV Mainz 05","right",10000000,"€  ",179,2015-11-13,"Turkey"
"11","Olcay Sahan","36200","Left Wing",1987-05-26,29,"114","Besiktas JK","right",5500000,"€  ",179,2013-03-22,"Turkey"
"20","Volkan Sen","56386","Left Wing",1987-07-07,28,"36","Fenerbahce SK","right",7500000,"€  ",174,2010-03-03,"Turkey"
"21","Emre Mor","283223","Right Wing",1997-07-24,18,"2778","FC Nordsjaelland","left",1000000,"€  ",168,2016-05-29,"Turkey"
"9","Cenk Tosun","45671","Centre Forward",1991-06-07,25,"114","Besiktas JK","right",8000000,"€  ",183,2013-10-15,"Turkey"
"17","Burak Yilmaz","34987","Centre Forward",1985-07-15,30,"3176","Beijing Guoan","both",5000000,"€  ",188,2006-04-12,"Turkey"
"1","Yann Sommer","42205","Keeper",1988-12-17,27,"18","Borussia Mönchengladbach","right",10000000,"€  ",183,2012-05-30,"Switzerland"
"21","Roman Bürki","59027","Keeper",1990-11-14,25,"16","Borussia Dortmund","right",6000000,"€  ",187,2014-11-18,"Switzerland"
"12","Marwin Hitz","59238","Keeper",1987-09-18,28,"167","FC Augsburg","right",4500000,"€  ",193,2015-06-10,"Switzerland"
"4","Nico Elvedi","192635","Centre Back",1996-09-30,19,"18","Borussia Mönchengladbach","right",4000000,"€  ",188,2016-05-28,"Switzerland"
"22","Fabian Schär","135343","Centre Back",1991-12-20,24,"533","TSG 1899 Hoffenheim","right",4000000,"€  ",186,2013-08-14,"Switzerland"
"20","Johan Djourou","34561","Centre Back",1987-01-18,29,"41","Hamburger SV","right",3500000,"€  ",191,2006-03-01,"Switzerland"
"5","Steve von Bergen","4793","Centre Back",1983-06-10,33,"452","BSC Young Boys","right",1000000,"€  ",182,2006-09-06,"Switzerland"
"13","Ricardo Rodríguez","86784","Left-Back",1992-08-25,23,"82","VfL Wolfsburg","left",25000000,"€  ",180,2011-10-07,"Switzerland"
"3","François Moubandje","123021","Left-Back",1990-06-21,25,"415","FC Toulouse","left",1500000,"€  ",180,2014-11-15,"Switzerland"
"2","Stephan Lichtsteiner","2865","Right-Back",1984-01-16,32,"506","Juventus FC","right",6000000,"€  ",182,2006-11-15,"Switzerland"
"6","Michael Lang","51346","Right-Back",1991-02-08,25,"26","FC Basel 1893","right",4250000,"€  ",185,2013-08-14,"Switzerland"
"14","Denis Zakaria","334526","Defensive Midfield",1996-11-20,19,"452","BSC Young Boys","right",4000000,"€  ",191,2016-05-28,"Switzerland"
"16","Gelson Fernandes","20081","Defensive Midfield",1986-09-02,29,"273","Stade Rennais FC","right",3000000,"€  ",179,2007-08-22,"Switzerland"
"11","Valon Behrami","21905","Defensive Midfield",1985-04-19,31,"1010","Watford FC","right",2500000,"€  ",184,2005-10-08,"Switzerland"
"10","Granit Xhaka","111455","Central Midfield",1992-09-27,23,"18","Borussia Mönchengladbach","left",35000000,"€  ",185,2011-06-04,"Switzerland"
"15","Blerim Dzemaili","9967","Central Midfield",1986-04-12,30,"252","Genoa CFC","right",3500000,"€  ",179,2006-03-01,"Switzerland"
"8","Fabian Frei","52595","Central Midfield",1989-01-08,27,"39","1.FSV Mainz 05","right",3000000,"€  ",183,2011-10-07,"Switzerland"
"23","Xherdan Shaqiri","86792","Right Wing",1991-10-10,24,"512","Stoke City","left",15000000,"€  ",170,2010-03-03,"Switzerland"
"18","Admir Mehmedi","66058","Left Wing",1991-03-16,25,"15","Bayer 04 Leverkusen","right",5000000,"€  ",183,2011-06-04,"Switzerland"
"17","Shani Tarashaj","184381","Secondary Striker",1995-02-07,21,"504","Grasshopper Club","right",4000000,"€  ",176,2016-03-25,"Switzerland"
"7","Breel Embolo","237662","Centre Forward",1997-02-14,19,"26","FC Basel 1893","right",20000000,"€  ",185,2015-03-31,"Switzerland"
"9","Haris Seferovic","109256","Centre Forward",1992-02-22,24,"24","Eintracht Frankfurt","left",5500000,"€  ",185,2013-02-06,"Switzerland"
"19","Eren Derdiyok","47543","Centre Forward",1988-06-12,28,"10484","Kasimpasa","right",4600000,"€  ",191,2008-01-24,"Switzerland"
"1","Wayne Hennessey","45494","Keeper",1987-01-24,29,"873","Crystal Palace","right",3500000,"€  ",197,2007-05-26,"Wales"
"21","Danny Ward","203026","Keeper",1993-06-22,22,"31","Liverpool FC","right",1500000,"€  ",191,2016-03-24,"Wales"
"12","Owain Fôn Williams","48954","Keeper",1987-03-17,29,"2451","Inverness Caledonian Thistle FC",NA,250000,"€  ",193,2015-11-13,"Wales"
"6","Ashley Williams","67355","Centre Back",1984-08-23,31,"2288","Swansea City","right",6500000,"€  ",183,2008-03-26,"Wales"
"5","James Chester","73482","Centre Back",1989-01-23,27,"984","West Bromwich Albion","right",5000000,"€  ",177,2014-06-04,"Wales"
"19","James Collins","12691","Centre Back",1983-08-23,32,"379","West Ham United","right",2000000,"€  ",188,2004-05-27,"Wales"
"4","Ben Davies","192765","Left-Back",1993-04-24,23,"148","Tottenham Hotspur","left",8000000,"€  ",181,2012-10-12,"Wales"
"3","Neil Taylor","67416","Left-Back",1989-02-07,27,"2288","Swansea City","left",5000000,"€  ",176,2010-05-23,"Wales"
"2","Chris Gunter","43853","Right-Back",1989-07-21,26,"1032","Reading FC","right",2500000,"€  ",180,2007-05-26,"Wales"
"15","Jazz Richards","120241","Right-Back",1991-04-12,25,"931","Fulham FC","right",750000,"€  ",174,2012-05-27,"Wales"
"22","David Vaughan","14178","Defensive Midfield",1983-02-18,33,"703","Nottingham Forest","left",1250000,"€  ",171,2003-05-26,"Wales"
"10","Aaron Ramsey","50057","Central Midfield",1990-12-26,25,"11","Arsenal FC","both",30000000,"€  ",182,2008-11-19,"Wales"
"7","Joe Allen","51452","Central Midfield",1990-03-14,26,"31","Liverpool FC","right",8000000,"€  ",168,2009-05-29,"Wales"
"8","Andy King","56872","Central Midfield",1988-10-29,27,"1003","Leicester City","right",3500000,"€  ",183,2009-05-29,"Wales"
"16","Joe Ledley","34409","Central Midfield",1987-01-23,29,"873","Crystal Palace","left",3500000,"€  ",183,2005-09-07,"Wales"
"14","David Edwards","54949","Attacking Midfield",1986-02-03,30,"543","Wolverhampton Wanderers","right",850000,"€  ",183,2007-11-17,"Wales"
"20","Jonathan Williams","170322","Attacking Midfield",1993-10-09,22,"873","Crystal Palace","left",750000,"€  ",168,2013-03-22,"Wales"
"13","George Williams","136368","Attacking Midfield",1995-09-07,20,"931","Fulham FC","left",500000,"€  ",172,2014-06-04,"Wales"
"17","David Cotterill","40207","Right Wing",1987-12-04,28,"337","Birmingham City","right",750000,"€  ",175,2005-10-12,"Wales"
"9","Hal Robson-Kanu","65976","Left Wing",1989-05-21,27,"1032","Reading FC","left",2000000,"€  ",183,2010-05-23,"Wales"
"11","Gareth Bale","39381","Right Wing",1989-07-16,26,"418","Real Madrid","left",80000000,"€  ",183,2006-05-27,"Wales"
"18","Sam Vokes","48078","Centre Forward",1989-10-21,26,"1132","Burnley FC","right",3500000,"€  ",186,2008-05-28,"Wales"
"23","Simon Church","66959","Centre Forward",1988-12-10,27,"991","Milton Keynes Dons","right",500000,"€  ",183,2009-05-29,"Wales"
"1","Igor Akinfeev","15570","Keeper",1986-04-08,30,"2410","CSKA Moscow","right",14000000,"€  ",186,2004-04-28,"Russia"
"12","Yuri Lodygin","126360","Keeper",1990-05-26,26,"964","Zenit St. Petersburg","right",8000000,"€  ",187,2013-11-19,"Russia"
"16","Guilherme","55369","Keeper",1985-12-12,30,"932","Lokomotiv Moscow","right",6000000,"€  ",197,2016-03-26,"Russia"
"5","Roman Neustädter","40478","Centre Back",1988-02-18,28,"33","FC Schalke 04","right",7000000,"€  ",190,2016-06-01,"Russia"
"14","Vasili Berezutski","15362","Centre Back",1982-06-20,33,"2410","CSKA Moscow","right",3000000,"€  ",189,2003-06-07,"Russia"
"6","Aleksey Berezutski","15363","Centre Back",1982-06-20,33,"2410","CSKA Moscow","both",1000000,"€  ",190,2003-02-12,"Russia"
"4","Sergey Ignashevich","9644","Centre Back",1979-07-14,36,"2410","CSKA Moscow","right",200000,"€  ",186,2002-08-21,"Russia"
"21","Georgi Schennikov","70097","Left-Back",1991-04-27,25,"2410","CSKA Moscow","left",4000000,"€  ",180,2012-08-15,"Russia"
"3","Igor Smolnikov","46635","Right-Back",1988-08-08,27,"964","Zenit St. Petersburg","right",12000000,"€  ",178,2013-11-19,"Russia"
"2","Roman Shishkin","28937","Right-Back",1987-01-27,29,"932","Lokomotiv Moscow","right",3000000,"€  ",177,2007-03-24,"Russia"
"17","Oleg Shatov","59187","Central Midfield",1990-07-29,25,"964","Zenit St. Petersburg","right",14000000,"€  ",173,2013-02-06,"Russia"
"11","Pavel Mamaev","38802","Central Midfield",1988-09-17,27,"16704","FK Krasnodar","both",12000000,"€  ",180,2010-11-17,"Russia"
"8","Denis Glushakov","55336","Central Midfield",1987-01-27,29,"232","Spartak Moscow","both",5000000,"€  ",182,2011-03-29,"Russia"
"7","Artur Yusupov","97541","Central Midfield",1989-09-01,26,"964","Zenit St. Petersburg","right",4000000,"€  ",181,2015-11-17,"Russia"
"15","Roman Shirokov","48550","Central Midfield",1981-07-06,34,"2410","CSKA Moscow","right",1000000,"€  ",184,2008-03-26,"Russia"
"19","Aleksandr Samedov","15076","Right Midfield",1984-07-19,31,"932","Lokomotiv Moscow","right",4000000,"€  ",178,2011-10-07,"Russia"
"23","Dmitri Kombarov","38782","Left Midfield",1987-01-22,29,"232","Spartak Moscow","left",5000000,"€  ",182,2012-02-29,"Russia"
"18","Oleg Ivanov","16756","Attacking Midfield",1986-08-04,29,"3725","Terek Grozny","right",4000000,"€  ",192,2015-06-07,"Russia"
"13","Aleksandr Golovin","263918","Attacking Midfield",1996-05-30,20,"2410","CSKA Moscow","right",3000000,"€  ",180,2015-06-07,"Russia"
"20","Dmitri Torbinski","15083","Left Wing",1984-04-28,32,"16704","FK Krasnodar","left",1000000,"€  ",175,2007-03-24,"Russia"
"22","Artem Dzyuba","48067","Centre Forward",1988-08-22,27,"964","Zenit St. Petersburg","right",10000000,"€  ",196,2011-11-11,"Russia"
"10","Fedor Smolov","50355","Centre Forward",1990-02-09,26,"16704","FK Krasnodar","right",8000000,"€  ",187,2012-11-14,"Russia"
"9","Aleksandr Kokorin","89086","Centre Forward",1991-03-19,25,"964","Zenit St. Petersburg","right",7000000,"€  ",183,2011-11-11,"Russia"
"23","Ramazan Özcan","16498","Keeper",1984-06-28,31,"4795","FC Ingolstadt 04","left",1250000,"€  ",187,2008-08-20,"Austria"
"1","Robert Almer","2950","Keeper",1984-03-20,32,"14","Austria Vienna","left",1000000,"€  ",194,2011-11-15,"Austria"
"12","Heinz Lindner","59082","Keeper",1990-07-17,25,"24","Eintracht Frankfurt","right",1000000,"€  ",187,2012-06-01,"Austria"
"3","Aleksandar Dragovic","59032","Centre Back",1991-03-06,25,"338","Dynamo Kyiv","both",15000000,"€  ",186,2009-06-06,"Austria"
"16","Kevin Wimmer","122675","Centre Back",1992-11-15,23,"148","Tottenham Hotspur","left",7000000,"€  ",187,2013-11-19,"Austria"
"4","Martin Hinteregger","85789","Centre Back",1992-09-07,23,"18","Borussia Mönchengladbach","left",6000000,"€  ",184,2013-11-19,"Austria"
"15","Sebastian Prödl","37981","Centre Back",1987-06-21,28,"1010","Watford FC","right",4000000,"€  ",194,2007-05-30,"Austria"
"8","David Alaba","59016","Left-Back",1992-06-24,23,"27","Bayern Munich","left",45000000,"€  ",180,2009-10-14,"Austria"
"5","Christian Fuchs","6636","Left-Back",1986-04-07,30,"1003","Leicester City","left",6000000,"€  ",186,2006-05-23,"Austria"
"13","Markus Suttner","31514","Left-Back",1987-04-16,29,"4795","FC Ingolstadt 04","left",1500000,"€  ",179,2012-02-29,"Austria"
"17","Florian Klein","20276","Right-Back",1986-11-17,29,"79","VfB Stuttgart","right",1500000,"€  ",182,2010-05-19,"Austria"
"2","György Garics","2926","Right-Back",1984-03-08,32,"105","SV Darmstadt 98","right",750000,"€  ",183,2006-10-06,"Austria"
"14","Julian Baumgartlinger","34787","Defensive Midfield",1988-01-02,28,"39","1.FSV Mainz 05","right",6000000,"€  ",183,2009-09-09,"Austria"
"6","Stefan Ilsanker","40074","Defensive Midfield",1989-05-18,27,"23826","RasenBallsport Leipzig","right",2000000,"€  ",189,2014-05-30,"Austria"
"10","Zlatko Junuzovic","31007","Attacking Midfield",1987-09-26,28,"86","SV Werder Bremen","right",7000000,"€  ",172,2006-03-01,"Austria"
"18","Alessandro Schöpf","118397","Attacking Midfield",1994-02-07,22,"33","FC Schalke 04","right",5000000,"€  ",178,2016-03-26,"Austria"
"22","Jakob Jantscher","52269","Attacking Midfield",1989-01-08,27,"434","FC Luzern","both",1500000,"€  ",181,2009-06-06,"Austria"
"7","Marko Arnautovic","41384","Left Wing",1989-04-19,27,"512","Stoke City","both",10000000,"€  ",193,2008-10-11,"Austria"
"20","Marcel Sabitzer","106987","Left Wing",1994-03-17,22,"23826","RasenBallsport Leipzig","right",4000000,"€  ",177,2012-06-05,"Austria"
"11","Martin Harnik","31159","Right Wing",1987-06-10,29,"79","VfB Stuttgart","right",2500000,"€  ",185,2007-08-22,"Austria"
"19","Lukas Hinterseer","59054","Centre Forward",1991-03-28,25,"4795","FC Ingolstadt 04","right",2000000,"€  ",192,2013-11-19,"Austria"
"21","Marc Janko","8073","Centre Forward",1983-06-25,32,"26","FC Basel 1893","left",1750000,"€  ",196,2006-05-23,"Austria"
"9","Rubin Okotie","31493","Centre Forward",1987-06-06,29,"72","TSV 1860 Munich","both",1200000,"€  ",188,2008-11-19,"Austria"
"12","Andriy Pyatov","39996","Keeper",1984-06-28,31,"660","Shakhtar Donetsk","right",4000000,"€  ",190,2007-08-22,"Ukraine"
"1","Denys Boyko","91931","Keeper",1988-01-29,28,"114","Besiktas JK","right",2500000,"€  ",194,2014-11-18,"Ukraine"
"23","Mykyta Shevchenko","80312","Keeper",1993-01-26,23,"10690","Zorya Lugansk","right",2500000,"€  ",187,NA,"Ukraine"
"20","Yaroslav Rakitsky","89222","Centre Back",1989-08-03,26,"660","Shakhtar Donetsk","left",10000000,"€  ",184,2009-10-10,"Ukraine"
"3","Evgen Khacheridi","69004","Centre Back",1987-07-28,28,"338","Dynamo Kyiv","right",8500000,"€  ",198,2009-10-10,"Ukraine"
"5","Oleksandr Kucher","44357","Centre Back",1982-10-22,33,"660","Shakhtar Donetsk","right",1200000,"€  ",184,2006-08-15,"Ukraine"
"13","Vyacheslav Shevchuk","25820","Left-Back",1979-05-13,37,"660","Shakhtar Donetsk","both",200000,"€  ",184,2003-04-30,"Ukraine"
"17","Artem Fedetsky","58000","Right-Back",1985-04-26,31,"339","Dnipro Dnipropetrovsk","right",2500000,"€  ",183,2010-05-25,"Ukraine"
"2","Bogdan Butko","94922","Right-Back",1991-01-13,25,"4128","Amkar Perm","right",2000000,"€  ",182,2011-09-02,"Ukraine"
"6","Taras Stepanenko","59970","Defensive Midfield",1989-08-08,26,"660","Shakhtar Donetsk","left",8000000,"€  ",181,2010-11-17,"Ukraine"
"18","Sergiy Rybalka","81649","Defensive Midfield",1990-04-01,26,"338","Dynamo Kyiv","right",4500000,"€  ",176,2015-03-31,"Ukraine"
"4","Anatoliy Tymoshchuk","14944","Defensive Midfield",1979-03-30,37,"10482","Kairat Almaty","right",200000,"€  ",181,2000-04-26,"Ukraine"
"19","Denys Garmash","70754","Central Midfield",1990-04-19,26,"338","Dynamo Kyiv","right",5000000,"€  ",186,2011-10-07,"Ukraine"
"16","Sergiy Sydorchuk","124182","Central Midfield",1991-05-02,25,"338","Dynamo Kyiv","right",4500000,"€  ",188,2014-10-09,"Ukraine"
"14","Ruslan Rotan","24049","Central Midfield",1981-10-29,34,"339","Dnipro Dnipropetrovsk","both",1000000,"€  ",176,2003-02-12,"Ukraine"
"22","Oleksandr Karavaev","59322","Right Midfield",1992-06-02,24,"10690","Zorya Lugansk","both",2500000,"€  ",173,2015-10-09,"Ukraine"
"9","Viktor Kovalenko","203842","Attacking Midfield",1996-02-14,20,"660","Shakhtar Donetsk","right",4500000,"€  ",182,2016-03-24,"Ukraine"
"21","Oleksandr Zinchenko","203853","Attacking Midfield",1996-12-15,19,"28095","FK Ufa","left",4000000,"€  ",175,2015-10-12,"Ukraine"
"10","Evgen Konoplyanka","58949","Left Wing",1989-09-29,26,"368","Sevilla FC","right",25000000,"€  ",176,2010-05-25,"Ukraine"
"7","Andriy Yarmolenko","69015","Right Wing",1989-10-23,26,"338","Dynamo Kyiv","left",22000000,"€  ",189,2009-09-05,"Ukraine"
"8","Roman Zozulya","70767","Centre Forward",1989-11-17,26,"339","Dnipro Dnipropetrovsk","right",3500000,"€  ",176,2010-06-02,"Ukraine"
"11","Evgen Seleznev","59908","Centre Forward",1985-07-20,30,"2439","Kuban Krasnodar","right",3000000,"€  ",185,2008-05-24,"Ukraine"
"15","Pylyp Budkivsky","99863","Centre Forward",1992-03-10,24,"10690","Zorya Lugansk","right",2500000,"€  ",196,2014-10-09,"Ukraine"
"12","Robin Olsen","75458","Keeper",1990-01-08,26,"190","FC Copenhagen",NA,1500000,"€  ",198,2015-01-15,"Sweden"
"1","Andreas Isaksson","6590","Keeper",1981-10-03,34,"10484","Kasimpasa","right",1000000,"€  ",199,2002-03-27,"Sweden"
"23","Patrik Carlgren","190280","Keeper",1992-01-08,24,"272","AIK Solna",NA,1000000,"€  ",188,2016-01-10,"Sweden"
"14","Victor Lindelöf","184573","Centre Back",1994-07-17,21,"294","SL Benfica","right",8000000,"€  ",187,2016-03-24,"Sweden"
"4","Andreas Granqvist","29213","Centre Back",1985-04-16,31,"16704","FK Krasnodar","right",7000000,"€  ",192,2006-01-23,"Sweden"
"3","Erik Johansson","49147","Centre Back",1988-12-30,27,"190","FC Copenhagen","left",1500000,"€  ",191,2014-01-21,"Sweden"
"13","Pontus Jansson","125314","Centre Back",1991-02-13,25,"416","Torino FC","right",1300000,"€  ",194,2012-01-18,"Sweden"
"5","Martin Olsson","38073","Left-Back",1988-05-17,28,"1123","Norwich City","left",3500000,"€  ",178,2010-05-29,"Sweden"
"17","Ludwig Augustinsson","170646","Left-Back",1994-04-21,22,"190","FC Copenhagen","left",3500000,"€  ",181,2015-01-15,"Sweden"
"2","Mikael Lustig","36025","Right-Back",1986-12-13,29,"371","Celtic FC","right",3500000,"€  ",189,2008-01-19,"Sweden"
"16","Pontus Wernbloom","36688","Defensive Midfield",1986-06-25,29,"2410","CSKA Moscow","right",10000000,"€  ",186,2007-01-18,"Sweden"
"18","Oscar Lewicki","76051","Defensive Midfield",1992-07-14,23,"496","Malmö FF","both",1700000,"€  ",173,2014-01-17,"Sweden"
"9","Kim Källström","3730","Defensive Midfield",1982-08-24,33,"504","Grasshopper Club","left",1500000,"€  ",185,2001-02-01,"Sweden"
"8","Albin Ekdal","49275","Central Midfield",1989-07-28,26,"41","Hamburger SV","right",4500000,"€  ",186,2011-08-10,"Sweden"
"15","Oscar Hiljemark","158810","Central Midfield",1992-06-28,23,"458","US Palermo","right",4000000,"€  ",184,2012-01-18,"Sweden"
"7","Sebastian Larsson","31720","Central Midfield",1985-06-06,31,"289","Sunderland AFC","right",2500000,"€  ",178,2008-02-06,"Sweden"
"21","Jimmy Durmaz","80205","Left Wing",1989-03-22,27,"683","Olympiacos Piraeus","left",3750000,"€  ",180,2011-02-08,"Sweden"
"22","Erkan Zengin","23674","Left Wing",1985-08-05,30,"449","Trabzonspor","right",2600000,"€  ",180,2013-03-26,"Sweden"
"6","Emil Forsberg","111078","Left Wing",1991-10-23,24,"23826","RasenBallsport Leipzig","right",5000000,"€  ",179,2014-01-17,"Sweden"
"10","Zlatan Ibrahimovic","3455","Centre Forward",1981-10-03,34,"583","Paris Saint-Germain","both",15000000,"€  ",195,2001-01-31,"Sweden"
"11","Marcus Berg","30418","Centre Forward",1986-08-17,29,"265","Panathinaikos Athens","right",5000000,"€  ",184,2008-02-06,"Sweden"
"20","John Guidetti","98596","Centre Forward",1992-04-15,24,"940","Celta de Vigo","right",5000000,"€  ",185,2012-02-29,"Sweden"
"19","Emir Kujovic","47199","Centre Forward",1988-06-22,27,"2844","IFK Norrköping","both",1500000,"€  ",194,2016-01-06,"Sweden"
"1","Keiren Westwood","15164","Keeper",1984-10-23,31,"1035","Sheffield Wednesday","left",1500000,"€  ",188,2009-05-29,"Republic of Ireland"
"23","Darren Randolph","51321","Keeper",1987-05-12,29,"379","West Ham United","right",1000000,"€  ",187,2012-09-11,"Republic of Ireland"
